STT,ID_ho so,Trinh do hoc van,Tinh trang cong viec,N_Cong ty ung tuyen,Truong top dao tao,Du an tham gia,Ket qua tuyen dung
350,1018,Dai hoc,dang tim viec,3,No,No,No
351,1019,Cao dang,dang tim viec,5,Yes,No,Yes
352,1020,Dai hoc,dang tim viec,1,Yes,No,Yes
353,1021,Cao dang,dang tim viec,0,Yes,Yes,Yes
354,1022,Cao dang,dang tim viec,0,No,No,No
355,1023,Dai hoc,dang lam,2,No,Yes,Yes
356,1024,Cao dang,dang tim viec,3,No,Yes,Yes
357,1025,Dai hoc,dang lam,5,No,No,No
358,1026,Cao dang,dang tim viec,3,Yes,No,Yes
359,1027,Cao dang,dang lam,6,No,Yes,Yes
360,1028,trung tam tin hoc,dang lam,4,No,No,No
361,1029,trung tam tin hoc,dang tim viec,0,No,No,No
362,1030,Dai hoc,dang tim viec,3,No,Yes,Yes
363,1031,Cao dang,dang lam,6,Yes,No,Yes
364,1032,Cao dang,dang tim viec,6,Yes,Yes,Yes
365,1033,trung tam tin hoc,dang tim viec,1,No,No,No
366,1034,Cao dang,dang lam,4,Yes,No,Yes
367,1035,Cao dang,dang lam,0,Yes,No,Yes
368,1036,trung tam tin hoc,dang lam,3,Yes,Yes,Yes
369,1037,trung tam tin hoc,dang tim viec,4,No,No,No
370,1038,trung tam tin hoc,dang lam,3,No,Yes,Yes
371,1039,Dai hoc,dang lam,5,No,Yes,Yes
372,1040,Cao dang,dang lam,5,No,No,No
373,1041,Dai hoc,dang lam,3,Yes,No,Yes
374,1042,trung tam tin hoc,dang lam,1,No,Yes,Yes
375,1043,Dai hoc,dang lam,3,No,No,No
376,1044,trung tam tin hoc,dang lam,4,No,No,No
377,1045,Dai hoc,dang tim viec,3,No,Yes,Yes
378,1046,Cao dang,dang lam,1,Yes,Yes,Yes
379,1047,Dai hoc,dang lam,2,No,Yes,Yes
380,1048,trung tam tin hoc,dang tim viec,5,No,No,No
381,1049,Cao dang,dang lam,3,Yes,Yes,Yes
382,1050,Cao dang,dang lam,3,Yes,Yes,Yes
383,1051,trung tam tin hoc,dang tim viec,1,No,Yes,Yes
384,1052,Dai hoc,dang lam,3,No,No,No
385,1053,Cao dang,dang lam,0,Yes,Yes,No
386,1054,trung tam tin hoc,dang lam,6,Yes,Yes,No
387,1055,Cao dang,dang tim viec,6,Yes,No,Yes
388,1056,Dai hoc,dang tim viec,2,Yes,Yes,Yes
389,1057,Cao dang,dang tim viec,2,Yes,No,Yes
390,1058,Dai hoc,dang lam,3,No,Yes,Yes
391,1059,Dai hoc,dang tim viec,3,Yes,Yes,No
392,1060,Cao dang,dang tim viec,4,No,No,Yes
393,1061,Dai hoc,dang tim viec,6,No,No,No
394,1062,Cao dang,dang tim viec,5,Yes,No,Yes
395,1063,Dai hoc,dang lam,3,Yes,No,Yes
396,1064,trung tam tin hoc,dang lam,5,Yes,No,No
397,1065,Cao dang,dang tim viec,3,No,No,No
398,1066,Cao dang,dang tim viec,4,No,Yes,Yes
399,1067,Cao dang,dang tim viec,6,Yes,No,No
400,1068,trung tam tin hoc,dang tim viec,5,No,Yes,No
401,1069,Cao dang,dang lam,4,Yes,Yes,No
402,1070,Cao dang,dang tim viec,3,Yes,Yes,No
403,1071,Dai hoc,dang lam,4,Yes,No,No
404,1072,Dai hoc,dang lam,2,Yes,Yes,Yes
405,1073,Cao dang,dang lam,5,Yes,Yes,Yes
406,1074,Cao dang,dang tim viec,1,Yes,No,Yes
407,1075,Dai hoc,dang tim viec,5,Yes,No,No
408,1076,Cao dang,dang lam,3,Yes,No,No
409,1077,Dai hoc,dang lam,0,Yes,No,No
410,1078,Dai hoc,dang tim viec,4,Yes,Yes,No
411,1079,trung tam tin hoc,dang lam,6,No,Yes,Yes
412,1080,Dai hoc,dang tim viec,5,No,No,Yes
413,1081,Dai hoc,dang tim viec,1,No,Yes,No
414,1082,trung tam tin hoc,dang tim viec,0,Yes,No,No
415,1083,Dai hoc,dang tim viec,2,Yes,No,Yes
416,1084,Dai hoc,dang lam,6,No,No,No
417,1085,Dai hoc,dang lam,2,No,Yes,No
418,1086,trung tam tin hoc,dang lam,6,Yes,No,No
419,1087,Cao dang,dang tim viec,6,No,Yes,No
420,1088,Dai hoc,dang tim viec,4,No,No,No
421,1089,trung tam tin hoc,dang tim viec,2,No,Yes,Yes
422,1090,trung tam tin hoc,dang lam,6,No,Yes,No
423,1091,Cao dang,dang tim viec,1,Yes,No,No
424,1092,Dai hoc,dang lam,0,No,Yes,No
425,1093,trung tam tin hoc,dang tim viec,1,Yes,Yes,No
426,1094,trung tam tin hoc,dang tim viec,2,No,Yes,No
427,1095,trung tam tin hoc,dang tim viec,1,Yes,Yes,No
428,1096,Dai hoc,dang tim viec,3,No,No,No
429,1097,trung tam tin hoc,dang lam,2,Yes,Yes,No
430,1098,Cao dang,dang lam,4,No,Yes,Yes
431,1099,trung tam tin hoc,dang tim viec,6,Yes,No,No
432,1100,Dai hoc,dang lam,2,No,Yes,No
433,1101,trung tam tin hoc,dang tim viec,1,No,No,No
434,1102,trung tam tin hoc,dang tim viec,6,Yes,Yes,Yes
435,1103,Cao dang,dang lam,6,Yes,No,Yes
436,1104,trung tam tin hoc,dang tim viec,0,No,No,Yes
437,1105,Dai hoc,dang tim viec,5,Yes,No,Yes
438,1106,Dai hoc,dang tim viec,3,No,No,No
439,1107,trung tam tin hoc,dang lam,4,Yes,Yes,No
440,1108,trung tam tin hoc,dang lam,6,Yes,Yes,No
441,1109,Cao dang,dang lam,0,Yes,Yes,Yes
442,1110,Cao dang,dang lam,2,Yes,Yes,No
443,1111,trung tam tin hoc,dang lam,6,No,Yes,Yes
444,1112,Cao dang,dang lam,6,No,Yes,No
445,1113,Cao dang,dang tim viec,5,Yes,No,Yes
446,1114,trung tam tin hoc,dang lam,6,No,Yes,No
447,1115,trung tam tin hoc,dang tim viec,1,No,No,No
448,1116,Dai hoc,dang lam,1,Yes,Yes,Yes
449,1117,Dai hoc,dang lam,3,Yes,No,No
450,1118,Dai hoc,dang lam,6,Yes,Yes,Yes
451,1119,trung tam tin hoc,dang lam,2,No,Yes,Yes
452,1120,trung tam tin hoc,dang tim viec,2,No,Yes,Yes
453,1121,Cao dang,dang lam,0,No,No,Yes
454,1122,Dai hoc,dang tim viec,3,No,Yes,Yes
455,1123,Dai hoc,dang lam,2,Yes,No,No
456,1124,trung tam tin hoc,dang lam,3,Yes,Yes,Yes
457,1125,trung tam tin hoc,dang lam,0,No,No,Yes
458,1126,Cao dang,dang lam,6,Yes,Yes,No
459,1127,Cao dang,dang lam,0,Yes,No,Yes
460,1128,Cao dang,dang tim viec,6,Yes,No,No
461,1129,Cao dang,dang lam,5,Yes,No,Yes
462,1130,trung tam tin hoc,dang tim viec,3,Yes,Yes,Yes
463,1131,Cao dang,dang lam,5,Yes,No,No
464,1132,Cao dang,dang tim viec,0,Yes,No,No
465,1133,Dai hoc,dang lam,2,Yes,No,No
466,1134,Cao dang,dang lam,5,Yes,Yes,No
467,1135,Dai hoc,dang lam,5,No,No,Yes
468,1136,trung tam tin hoc,dang tim viec,4,No,Yes,No
469,1137,Cao dang,dang lam,3,No,Yes,No
470,1138,Cao dang,dang lam,1,Yes,No,Yes
471,1139,Cao dang,dang tim viec,0,Yes,No,No
472,1140,trung tam tin hoc,dang lam,3,No,No,No
473,1141,Cao dang,dang tim viec,0,No,Yes,No
474,1142,Dai hoc,dang tim viec,6,Yes,No,Yes
475,1143,Cao dang,dang tim viec,2,No,No,No
476,1144,trung tam tin hoc,dang tim viec,4,No,No,No
477,1145,Cao dang,dang tim viec,1,Yes,Yes,No
478,1146,trung tam tin hoc,dang tim viec,6,Yes,Yes,No
479,1147,Cao dang,dang lam,1,Yes,Yes,No
480,1148,Dai hoc,dang lam,0,No,Yes,Yes
481,1149,Cao dang,dang lam,4,No,Yes,No
